Matchday,Date,Time,Location,Home Team,Away Team,Home Goals,Away Goals,Result,Geri Home Goals Predicted,Geri Away Goals Predicted,Geri Result Predicted,Andreas Home Goals Predicted,Andreas Away Goals Predicted,Andreas Result Predicted,Johnny Home Goals Predicted,Johnny Away Goals Predicted,Johnny Result Predicted,Gerd Home Goals Predicted,Gerd Away Goals Predicted,Gerd Result Predicted,Samson Home Goals Predicted,Samson Away Goals Predicted,Samson Result Predicted,Moddy Home Goals Predicted,Moddy Away Goals Predicted,Moddy Result Predicted,Hermann Home Goals Predicted,Hermann Away Goals Predicted,Hermann Result Predicted
23,24/02/2024,14:30,An der Alten Försterei,1. FC Union Berlin,HDH,2,2,Tie,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win
23,24/02/2024,17:30,Allianz Arena,FCB,RBL,2,1,Home Win,3,1,Home Win,3,2,Home Win,2,1,Home Win,2,2,Tie,2,4,Away Win,3,1,Home Win,2,2,Tie
23,25/02/2024,14:30,Deutsche Bank Park,SGE,WOB,2,2,Tie,2,2,Tie,1,2,Away Win,2,0,Home Win,2,0,Home Win,1,2,Away Win,1,2,Away Win,1,1,Tie
23,25/02/2024,16:30,SIGNAL IDUNA PARK,BVB,TSG,2,3,Away Win,2,1,Home Win,2,1,Home Win,3,1,Home Win,2,1,Home Win,3,1,Home Win,3,1,Home Win,3,2,Home Win
23,25/02/2024,18:30,WWK ARENA,FCA,SCF,2,1,Home Win,1,2,Away Win,0,1,Away Win,1,2,Away Win,2,2,Tie,0,2,Away Win,1,1,Tie,2,1,Home Win
24,01/03/2024,19:30,Europa-Park Stadion,SCF,FCB,2,2,Tie,1,3,Away Win,0,3,Away Win,0,2,Away Win,2,2,Tie,2,2,Tie,1,3,Away Win,0,4,Away Win
24,02/03/2024,14:30,Merck-Stadion am Böllenfalltor,D98,FCA,0,6,Away Win,1,1,Tie,0,2,Away Win,2,1,Home Win,1,2,Away Win,1,1,Tie,1,2,Away Win,0,0,Tie
24,02/03/2024,14:30,Voith-Arena,HDH,SGE,1,2,Away Win,1,1,Tie,1,1,Tie,2,2,Tie,2,2,Tie,2,1,Home Win,1,3,Away Win,1,1,Tie
24,02/03/2024,14:30,Vonovia Ruhrstadion,BOC,RBL,1,4,Away Win,1,0,Home Win,1,3,Away Win,1,2,Away Win,1,1,Tie,0,2,Away Win,1,3,Away Win,2,2,Tie
24,02/03/2024,14:30,MEWA ARENA,M05,BMG,1,1,Tie,1,2,Away Win,2,1,Home Win,2,1,Home Win,1,2,Away Win,1,1,Tie,2,2,Tie,1,1,Tie
24,02/03/2024,14:30,An der Alten Försterei,1. FC Union Berlin,BVB,0,2,Away Win,1,0,Home Win,1,0,Home Win,1,0,Home Win,1,0,Home Win,1,0,Home Win,1,0,Home Win,1,0,Home Win
24,02/03/2024,17:30,Volkswagen Arena,WOB,VFB,2,3,Away Win,1,2,Away Win,0,0,Tie,1,1,Tie,1,2,Away Win,2,3,Away Win,2,1,Home Win,2,1,Home Win
24,03/03/2024,14:30,RheinEnergieSTADION,KOE,B04,0,2,Away Win,1,3,Away Win,1,3,Away Win,1,3,Away Win,1,3,Away Win,1,4,Away Win,2,2,Tie,1,3,Away Win
24,03/03/2024,16:30,PreZero Arena,TSG,SVW,2,1,Home Win,1,2,Away Win,2,1,Home Win,2,1,Home Win,2,1,Home Win,2,0,Home Win,2,0,Home Win,2,1,Home Win
25,08/03/2024,19:30,Mercedes-Benz Arena,VFB,1. FC Union Berlin,2,0,Home Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win
25,09/03/2024,14:30,WWK ARENA,FCA,HDH,1,0,Home Win,2,1,Home Win,2,1,Home Win,3,2,Home Win,2,1,Home Win,2,2,Tie,3,1,Home Win,1,1,Tie
25,09/03/2024,14:30,BORUSSIA-PARK,BMG,KOE,3,3,Tie,1,1,Tie,0,1,Away Win,1,2,Away Win,2,1,Home Win,1,1,Tie,1,2,Away Win,1,2,Away Win
25,09/03/2024,14:30,Red Bull Arena,RBL,D98,2,0,Home Win,2,1,Home Win,3,0,Home Win,3,0,Home Win,3,0,Home Win,2,0,Home Win,3,1,Home Win,5,0,Home Win
25,09/03/2024,14:30,Allianz Arena,FCB,M05,8,1,Home Win,3,1,Home Win,4,0,Home Win,2,0,Home Win,4,0,Home Win,4,0,Home Win,5,1,Home Win,4,0,Home Win
25,09/03/2024,17:30,wohninvest WESERSTADION,SVW,BVB,1,2,Away Win,1,2,Away Win,1,2,Away Win,1,2,Away Win,1,2,Away Win,1,2,Away Win,1,2,Away Win,2,2,Tie
25,10/03/2024,14:30,Vonovia Ruhrstadion,BOC,SCF,1,2,Away Win,2,1,Home Win,1,1,Tie,2,2,Tie,1,2,Away Win,0,2,Away Win,1,2,Away Win,2,1,Home Win
25,10/03/2024,16:30,Deutsche Bank Park,SGE,TSG,3,1,Home Win,2,1,Home Win,0,0,Tie,2,1,Home Win,2,2,Tie,2,2,Tie,2,2,Tie,2,2,Tie
25,10/03/2024,18:30,BayArena,B04,WOB,2,0,Home Win,2,1,Home Win,2,1,Home Win,3,1,Home Win,3,1,Home Win,3,1,Home Win,3,1,Home Win,3,2,Home Win
26,15/03/2024,19:30,RheinEnergieSTADION,KOE,RBL,1,5,Away Win,2,1,Home Win,1,2,Away Win,1,1,Tie,1,2,Away Win,0,3,Away Win,1,0,Home Win,2,2,Tie
26,16/03/2024,14:30,Merck-Stadion am Böllenfalltor,D98,FCB,2,5,Away Win,0,4,Away Win,0,5,Away Win,1,5,Away Win,0,3,Away Win,0,4,Away Win,1,6,Away Win,0,6,Away Win
26,16/03/2024,14:30,Voith-Arena,HDH,BMG,1,1,Tie,2,1,Home Win,2,1,Home Win,2,2,Tie,2,1,Home Win,2,1,Home Win,1,2,Away Win,2,1,Home Win
26,16/03/2024,14:30,MEWA ARENA,M05,BOC,2,0,Home Win,0,1,Away Win,3,2,Home Win,2,1,Home Win,1,1,Tie,0,2,Away Win,2,0,Home Win,1,1,Tie
26,16/03/2024,14:30,Volkswagen Arena,WOB,FCA,1,3,Away Win,2,2,Tie,1,1,Tie,1,1,Tie,2,2,Tie,1,1,Tie,3,1,Home Win,1,1,Tie
26,16/03/2024,14:30,An der Alten Försterei,1. FC Union Berlin,SVW,2,1,Home Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win
26,16/03/2024,17:30,PreZero Arena,TSG,VFB,0,3,Away Win,1,2,Away Win,1,1,Tie,1,3,Away Win,1,2,Away Win,1,2,Away Win,2,2,Tie,1,3,Away Win
26,17/03/2024,14:30,Europa-Park Stadion,SCF,B04,2,3,Away Win,1,2,Away Win,2,2,Tie,1,2,Away Win,1,2,Away Win,2,3,Away Win,2,3,Away Win,2,2,Tie
26,17/03/2024,16:30,SIGNAL IDUNA PARK,BVB,SGE,3,1,Home Win,2,1,Home Win,2,1,Home Win,2,1,Home Win,2,1,Home Win,2,2,Tie,2,1,Home Win,3,1,Home Win
27,30/03/2024,14:30,wohninvest WESERSTADION,SVW,WOB,0,2,Away Win,1,1,Tie,1,2,Away Win,1,2,Away Win,3,1,Home Win,1,1,Tie,1,2,Away Win,1,1,Tie
27,30/03/2024,14:30,BORUSSIA-PARK,BMG,SCF,0,3,Away Win,1,2,Away Win,1,2,Away Win,2,2,Tie,1,2,Away Win,1,2,Away Win,2,1,Home Win,1,2,Away Win
27,30/03/2024,14:30,Deutsche Bank Park,SGE,1. FC Union Berlin,0,0,Tie,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win
27,30/03/2024,14:30,BayArena,B04,TSG,2,1,Home Win,2,1,Home Win,3,0,Home Win,2,0,Home Win,3,1,Home Win,3,1,Home Win,2,0,Home Win,3,1,Home Win
27,30/03/2024,14:30,Red Bull Arena,RBL,M05,0,0,Tie,2,1,Home Win,2,2,Tie,2,0,Home Win,3,0,Home Win,2,0,Home Win,3,1,Home Win,4,1,Home Win
27,30/03/2024,17:30,Allianz Arena,FCB,BVB,0,2,Away Win,2,1,Home Win,4,1,Home Win,3,1,Home Win,1,1,Tie,2,1,Home Win,2,2,Tie,3,1,Home Win
27,31/03/2024,13:30,WWK ARENA,FCA,KOE,1,1,Tie,2,2,Tie,1,1,Tie,1,2,Away Win,2,1,Home Win,1,2,Away Win,1,3,Away Win,2,1,Home Win
27,31/03/2024,15:30,Mercedes-Benz Arena,VFB,HDH,3,3,Tie,2,1,Home Win,3,1,Home Win,3,1,Home Win,3,0,Home Win,3,1,Home Win,2,0,Home Win,3,1,Home Win
27,31/03/2024,17:30,Vonovia Ruhrstadion,BOC,D98,2,2,Tie,2,1,Home Win,2,1,Home Win,2,1,Home Win,2,0,Home Win,1,2,Away Win,2,2,Tie,4,1,Home Win
28,05/04/2024,18:30,Deutsche Bank Park,SGE,SVW,1,1,Tie,2,1,Home Win,0,0,Tie,2,1,Home Win,3,1,Home Win,2,0,Home Win,3,1,Home Win,2,0,Home Win
28,06/04/2024,13:30,Voith-Arena,HDH,FCB,3,2,Home Win,1,3,Away Win,2,2,Tie,1,4,Away Win,0,3,Away Win,2,3,Away Win,1,5,Away Win,3,3,Tie
28,06/04/2024,13:30,RheinEnergieSTADION,KOE,BOC,2,1,Home Win,2,1,Home Win,2,3,Away Win,2,0,Home Win,2,1,Home Win,3,2,Home Win,2,0,Home Win,2,1,Home Win
28,06/04/2024,13:30,MEWA ARENA,M05,D98,4,0,Home Win,1,0,Home Win,4,1,Home Win,3,1,Home Win,3,1,Home Win,2,2,Tie,3,1,Home Win,1,1,Tie
28,06/04/2024,13:30,Europa-Park Stadion,SCF,RBL,1,4,Away Win,1,2,Away Win,2,1,Home Win,1,2,Away Win,2,2,Tie,1,2,Away Win,2,2,Tie,2,2,Tie
28,06/04/2024,13:30,An der Alten Försterei,1. FC Union Berlin,B04,0,1,Away Win,1,0,Home Win,1,0,Home Win,1,0,Home Win,1,0,Home Win,1,0,Home Win,1,0,Home Win,1,0,Home Win
28,06/04/2024,16:30,SIGNAL IDUNA PARK,BVB,VFB,0,1,Away Win,2,1,Home Win,2,2,Tie,3,2,Home Win,2,1,Home Win,2,2,Tie,2,0,Home Win,3,2,Home Win
28,07/04/2024,13:30,PreZero Arena,TSG,FCA,3,1,Home Win,1,1,Tie,2,2,Tie,2,1,Home Win,2,0,Home Win,1,2,Away Win,2,2,Tie,1,1,Tie
28,07/04/2024,15:30,Volkswagen Arena,WOB,BMG,1,3,Away Win,2,1,Home Win,1,1,Tie,2,1,Home Win,2,2,Tie,1,1,Tie,2,1,Home Win,3,1,Home Win
29,12/04/2024,18:30,WWK ARENA,FCA,1. FC Union Berlin,2,0,Home Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win
29,13/04/2024,13:30,Vonovia Ruhrstadion,BOC,HDH,1,1,Tie,1,2,Away Win,2,2,Tie,2,2,Tie,2,2,Tie,1,3,Away Win,2,2,Tie,1,0,Home Win
29,13/04/2024,13:30,BORUSSIA-PARK,BMG,BVB,1,2,Away Win,1,2,Away Win,1,2,Away Win,1,1,Tie,1,2,Away Win,0,2,Away Win,1,2,Away Win,2,1,Home Win
29,13/04/2024,13:30,MEWA ARENA,M05,TSG,4,1,Home Win,1,0,Home Win,1,1,Tie,2,1,Home Win,1,2,Away Win,1,1,Tie,2,2,Tie,1,1,Tie
29,13/04/2024,13:30,Red Bull Arena,RBL,WOB,3,0,Home Win,2,1,Home Win,2,0,Home Win,2,0,Home Win,3,0,Home Win,3,1,Home Win,2,1,Home Win,2,2,Tie
29,13/04/2024,13:30,Allianz Arena,FCB,KOE,2,0,Home Win,3,1,Home Win,5,0,Home Win,3,1,Home Win,4,1,Home Win,4,0,Home Win,2,3,Away Win,5,1,Home Win
29,13/04/2024,16:30,Mercedes-Benz Arena,VFB,SGE,3,0,Home Win,2,1,Home Win,3,1,Home Win,2,1,Home Win,3,2,Home Win,2,1,Home Win,1,0,Home Win,2,0,Home Win
29,14/04/2024,13:30,Merck-Stadion am Böllenfalltor,D98,SCF,0,1,Away Win,0,1,Away Win,0,2,Away Win,1,2,Away Win,0,3,Away Win,0,3,Away Win,1,2,Away Win,1,3,Away Win
29,14/04/2024,15:30,BayArena,B04,SVW,5,0,Home Win,2,0,Home Win,4,1,Home Win,2,0,Home Win,4,0,Home Win,3,1,Home Win,3,1,Home Win,4,1,Home Win
30,19/04/2024,18:30,Deutsche Bank Park,SGE,FCA,3,1,Home Win,2,1,Home Win,1,0,Home Win,1,1,Tie,2,2,Tie,2,1,Home Win,3,1,Home Win,3,1,Home Win
30,20/04/2024,13:30,Voith-Arena,HDH,RBL,1,2,Away Win,1,2,Away Win,1,2,Away Win,1,3,Away Win,1,3,Away Win,1,3,Away Win,1,3,Away Win,1,1,Tie
30,20/04/2024,13:30,PreZero Arena,TSG,BMG,4,3,Home Win,1,1,Tie,1,1,Tie,2,0,Home Win,3,2,Home Win,1,1,Tie,1,2,Away Win,2,2,Tie
30,20/04/2024,13:30,RheinEnergieSTADION,KOE,D98,0,2,Away Win,2,1,Home Win,2,1,Home Win,2,0,Home Win,2,0,Home Win,3,1,Home Win,3,1,Home Win,3,1,Home Win
30,20/04/2024,13:30,Volkswagen Arena,WOB,BOC,1,0,Home Win,2,1,Home Win,3,1,Home Win,2,1,Home Win,3,1,Home Win,2,0,Home Win,2,0,Home Win,1,1,Tie
30,20/04/2024,16:30,An der Alten Försterei,1. FC Union Berlin,FCB,1,5,Away Win,1,0,Home Win,1,0,Home Win,1,0,Home Win,1,0,Home Win,1,0,Home Win,1,0,Home Win,1,0,Home Win
30,21/04/2024,13:30,wohninvest WESERSTADION,SVW,VFB,2,1,Home Win,1,2,Away Win,1,3,Away Win,1,2,Away Win,0,2,Away Win,0,2,Away Win,2,0,Home Win,0,2,Away Win
30,21/04/2024,15:30,SIGNAL IDUNA PARK,BVB,B04,1,1,Tie,2,1,Home Win,2,2,Tie,2,1,Home Win,2,1,Home Win,2,3,Away Win,2,1,Home Win,2,2,Tie
30,21/04/2024,17:30,Europa-Park Stadion,SCF,M05,1,1,Tie,1,0,Home Win,2,2,Tie,1,1,Tie,3,1,Home Win,2,0,Home Win,2,2,Tie,2,0,Home Win
31,26/04/2024,18:30,Vonovia Ruhrstadion,BOC,TSG,3,2,Home Win,1,0,Home Win,0,2,Away Win,2,2,Tie,1,3,Away Win,0,2,Away Win,1,2,Away Win,0,1,Away Win
31,27/04/2024,13:30,WWK ARENA,FCA,SVW,0,3,Away Win,1,2,Away Win,0,2,Away Win,2,1,Home Win,2,0,Home Win,2,0,Home Win,2,3,Away Win,1,1,Tie
31,27/04/2024,13:30,Europa-Park Stadion,SCF,WOB,1,2,Away Win,2,1,Home Win,1,1,Tie,1,1,Tie,3,0,Home Win,1,1,Tie,2,1,Home Win,3,1,Home Win
31,27/04/2024,13:30,Red Bull Arena,RBL,BVB,4,1,Home Win,1,2,Away Win,2,1,Home Win,2,1,Home Win,1,1,Tie,2,2,Tie,1,2,Away Win,2,2,Tie
31,27/04/2024,13:30,Allianz Arena,FCB,SGE,2,1,Home Win,3,1,Home Win,4,0,Home Win,3,1,Home Win,2,1,Home Win,3,0,Home Win,4,1,Home Win,4,1,Home Win
31,27/04/2024,16:30,BayArena,B04,VFB,2,2,Tie,2,1,Home Win,3,1,Home Win,2,1,Home Win,3,2,Home Win,2,2,Tie,2,1,Home Win,4,2,Home Win
31,28/04/2024,13:30,BORUSSIA-PARK,BMG,1. FC Union Berlin,0,0,Tie,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win
31,28/04/2024,15:30,MEWA ARENA,M05,KOE,1,1,Tie,1,1,Tie,3,0,Home Win,2,0,Home Win,2,0,Home Win,2,1,Home Win,1,3,Away Win,2,0,Home Win
31,28/04/2024,17:30,Merck-Stadion am Böllenfalltor,D98,HDH,0,1,Away Win,1,2,Away Win,1,2,Away Win,1,2,Away Win,1,2,Away Win,1,3,Away Win,1,2,Away Win,0,1,Away Win
32,03/05/2024,18:30,PreZero Arena,TSG,RBL,1,1,Tie,0,1,Away Win,1,2,Away Win,1,2,Away Win,1,2,Away Win,1,1,Tie,1,2,Away Win,1,3,Away Win
32,04/05/2024,13:30,Mercedes-Benz Arena,VFB,FCB,3,1,Home Win,1,2,Away Win,2,3,Away Win,2,2,Tie,2,2,Tie,3,2,Home Win,1,3,Away Win,3,3,Tie
32,04/05/2024,13:30,wohninvest WESERSTADION,SVW,BMG,2,2,Tie,2,1,Home Win,1,1,Tie,2,1,Home Win,2,1,Home Win,1,0,Home Win,1,2,Away Win,3,2,Home Win
32,04/05/2024,13:30,Volkswagen Arena,WOB,D98,3,0,Home Win,2,1,Home Win,2,0,Home Win,2,1,Home Win,2,0,Home Win,2,0,Home Win,3,0,Home Win,2,1,Home Win
32,04/05/2024,13:30,SIGNAL IDUNA PARK,BVB,FCA,5,1,Home Win,2,1,Home Win,2,2,Tie,2,1,Home Win,2,1,Home Win,2,2,Tie,3,1,Home Win,3,1,Home Win
32,04/05/2024,16:30,RheinEnergieSTADION,KOE,SCF,0,0,Tie,1,1,Tie,0,2,Away Win,1,0,Home Win,2,1,Home Win,2,1,Home Win,2,0,Home Win,2,1,Home Win
32,05/05/2024,13:30,An der Alten Försterei,1. FC Union Berlin,BOC,3,4,Away Win,1,0,Home Win,1,0,Home Win,1,0,Home Win,1,0,Home Win,1,0,Home Win,1,0,Home Win,1,0,Home Win
32,05/05/2024,15:30,Deutsche Bank Park,SGE,B04,1,5,Away Win,1,2,Away Win,2,2,Tie,1,1,Tie,2,2,Tie,1,1,Tie,1,2,Away Win,2,2,Tie
32,05/05/2024,17:30,Voith-Arena,HDH,M05,1,1,Tie,2,1,Home Win,3,3,Tie,1,1,Tie,1,3,Away Win,4,1,Home Win,2,1,Home Win,2,0,Home Win
33,10/05/2024,18:30,WWK ARENA,FCA,VFB,0,1,Away Win,1,2,Away Win,1,2,Away Win,1,2,Away Win,1,2,Away Win,0,2,Away Win,2,2,Tie,0,3,Away Win
33,11/05/2024,13:30,RheinEnergieSTADION,KOE,1. FC Union Berlin,3,2,Home Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win
33,11/05/2024,13:30,BORUSSIA-PARK,BMG,SGE,1,1,Tie,1,2,Away Win,2,2,Tie,1,1,Tie,1,1,Tie,1,0,Home Win,2,1,Home Win,2,2,Tie
33,11/05/2024,13:30,Europa-Park Stadion,SCF,HDH,1,1,Tie,1,0,Home Win,4,1,Home Win,2,0,Home Win,2,0,Home Win,1,1,Tie,2,0,Home Win,2,1,Home Win
33,11/05/2024,13:30,Red Bull Arena,RBL,SVW,1,1,Tie,2,1,Home Win,2,1,Home Win,3,1,Home Win,3,1,Home Win,3,1,Home Win,3,1,Home Win,3,1,Home Win
33,11/05/2024,16:30,MEWA ARENA,M05,BVB,3,0,Home Win,1,2,Away Win,2,1,Home Win,1,2,Away Win,1,2,Away Win,1,3,Away Win,1,2,Away Win,0,2,Away Win
33,12/05/2024,13:30,Merck-Stadion am Böllenfalltor,D98,TSG,0,6,Away Win,1,2,Away Win,0,1,Away Win,1,2,Away Win,0,2,Away Win,1,1,Tie,1,3,Away Win,1,3,Away Win
33,12/05/2024,15:30,Allianz Arena,FCB,WOB,2,0,Home Win,2,1,Home Win,2,1,Home Win,4,1,Home Win,2,0,Home Win,2,2,Tie,4,2,Home Win,4,1,Home Win
33,12/05/2024,17:30,Vonovia Ruhrstadion,BOC,B04,0,5,Away Win,1,2,Away Win,2,2,Tie,0,2,Away Win,0,2,Away Win,0,2,Away Win,1,3,Away Win,0,3,Away Win
34,18/05/2024,13:30,Voith-Arena,HDH,KOE,4,1,Home Win,1,0,Home Win,2,1,Home Win,1,1,Tie,2,1,Home Win,2,0,Home Win,1,3,Away Win,2,0,Home Win
34,18/05/2024,13:30,Mercedes-Benz Arena,VFB,BMG,4,0,Home Win,2,1,Home Win,3,0,Home Win,3,1,Home Win,2,0,Home Win,3,1,Home Win,1,2,Away Win,3,1,Home Win
34,18/05/2024,13:30,wohninvest WESERSTADION,SVW,BOC,4,1,Home Win,2,1,Home Win,2,1,Home Win,2,1,Home Win,2,0,Home Win,2,1,Home Win,2,0,Home Win,2,1,Home Win
34,18/05/2024,13:30,PreZero Arena,TSG,FCB,4,2,Home Win,1,3,Away Win,1,2,Away Win,1,2,Away Win,1,3,Away Win,2,2,Tie,1,3,Away Win,2,2,Tie
34,18/05/2024,13:30,Volkswagen Arena,WOB,M05,1,3,Away Win,2,1,Home Win,1,1,Tie,2,2,Tie,2,1,Home Win,1,0,Home Win,2,1,Home Win,1,2,Away Win
34,18/05/2024,13:30,Deutsche Bank Park,SGE,RBL,2,2,Tie,1,2,Away Win,2,2,Tie,1,1,Tie,1,2,Away Win,0,1,Away Win,2,2,Tie,1,2,Away Win
34,18/05/2024,13:30,BayArena,B04,FCA,2,1,Home Win,3,1,Home Win,3,1,Home Win,3,0,Home Win,4,0,Home Win,2,0,Home Win,4,1,Home Win,4,1,Home Win
34,18/05/2024,13:30,An der Alten Försterei,1. FC Union Berlin,SCF,2,1,Home Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win
34,18/05/2024,13:30,SIGNAL IDUNA PARK,BVB,D98,4,0,Home Win,2,1,Home Win,4,0,Home Win,3,0,Home Win,3,0,Home Win,2,0,Home Win,5,1,Home Win,4,0,Home Win
